Id,loan_date,loan_duration,loan_payments,Predicted,account_frequency,account_district_region,account_district_no_inhabitants,account_district_no_municipalities_0_499,account_district_no_municipalities_500_1999,account_district_no_municipalities_2000_9999,account_district_no_municipalities_10000_plus,account_district_no_cities,account_district_ratio_urban_inhabitants,account_district_average_salary,account_district_unemployment_rate_95,account_district_unemployment_rate_96,account_district_no_enterpreneurs_per_1000_inhabitants,account_district_no_crimes_95,account_district_no_crimes_96,owner_card_type,owner_district_region,owner_district_no_inhabitants,owner_district_no_municipalities_0_499,owner_district_no_municipalities_500_1999,owner_district_no_municipalities_2000_9999,owner_district_no_municipalities_10000_plus,owner_district_no_cities,owner_district_ratio_urban_inhabitants,owner_district_average_salary,owner_district_unemployment_rate_95,owner_district_unemployment_rate_96,owner_district_no_enterpreneurs_per_1000_inhabitants,owner_district_no_crimes_95,owner_district_no_crimes_96,count_trans_credits,count_trans_withdrawals,count_trans_credit_cash,count_trans_withdrawal_cash,count_trans_withdrawal_card,count_trans_collection_other_bank,count_trans_remittance_other_bank,count_trans_ksymbol_interest_credited,count_trans_ksymbol_household,count_trans_ksymbol_payment_for_statement,count_trans_ksymbol_insurance_payment,count_trans_ksymbol_sanction_interest_if_negative_balance,count_trans_ksymbol_oldage_pension,last_trans_balance,mean_trans_balance,mean_trans_amount_credit,mean_trans_amount_withdrawal,mean_trans_amount_absolute,mean_trans_amount_signed,owner_male,owner_age,account_age_months,has_disponent,owner_profile
5895,970103,60,-1.180186741470129,,2,3,-0.91224629023717,1.3150324623784202,-0.1650771956695257,0.1278728991054864,1,-0.0761686869725406,-0.7374812387077433,-0.8866598681483506,-0.2970213792442334,-0.2646254557799283,0.3864021857138695,-0.5408424435696403,-0.5459109678913945,0,3,-0.8886825494773711,1.281705389270796,-0.1859213042181721,0.085548961329105,1,-0.1054912678147637,-0.712869094105222,-0.8600675125299254,-0.3182960530200511,-0.28798461754112,0.4542191638030901,-0.4912059418079895,-0.4972925615628581,0.1478155433234343,0.6126856358106801,0.2026845843865626,0.3639539085461102,0,0,1,0.3031657446482809,1,0.422731360316711,0,0,0,0.5161228123770387,0.8466935536509436,0.1643863610991333,-0.5245010990941747,-0.2438922513587722,-0.0619272673205218,1,-0.1403284168670028,0.4097758894629603,0,4
7122,970104,36,1.4103561316540212,,2,7,-1.4998383449602206,0.7402697897684904,-0.3486206539054729,-0.3231196912880569,1,0.2708219981245885,-0.7910298865092635,-0.7171881990035387,-0.908317567313586,-1.00717801276031,-0.951663581773025,-0.9981205033593712,-0.9434647636699496,0,7,-1.490728958850685,0.7064462654601488,-0.3692344939483138,-0.3598488055906803,1,0.2440151548442515,-0.7672345917068208,-0.6854960662713661,-0.9407736081461312,-1.0345517764216947,-0.922472820972316,-0.9606111191920452,-0.9073319359356068,0.0825401355452009,0.3407977796795191,0.0234917442820004,-0.2358427543402708,0,0,1,0.4286315984886765,1,-0.1304171217998363,0,1,0,-1.950597902538653,-0.8879758120867737,-0.4391165848736778,-0.5937578473213151,-0.5356363840825572,-1.474755928726914,0,0.8984916691067811,0.782093041107977,0,0
6173,970108,48,0.3168858847149412,,0,6,0.3317909018208616,0.8552223242904764,0.3243720262930001,1.0298580798925732,1,1.311794053415976,0.2994153050853287,0.3327993163501874,-0.7425423298710497,-0.7989010760463005,0.5118458514157659,0.0541564305049797,-0.1441322018364686,0,6,0.3791678061265724,0.8214980902222783,0.302913868395539,0.9763444951686756,1,1.2925344228212974,0.3398446321802827,0.396087894243621,-0.7719661355695672,-0.8251487928332408,0.5832840373757844,0.1195724370119746,-0.0828955274538368,0.8859406853895674,2.125013991297537,-0.9620688762930912,1.450218982241399,0,1,1,0.9794885796476052,1,1.5290283245498058,0,0,0,0.359521395399742,-0.2350862285854527,0.6358923704811185,-0.8257527013724703,-0.4599284574957699,-0.8626349524416139,0,1.6975840429327689,1.5267273443980105,0,6
6142,970121,60,-0.2067927679945054,,2,2,-0.832299945215665,0.6253172552465044,0.0796474153117371,-0.3231196912880569,2,0.2708219981245885,-0.6498561786688923,-0.5116116959974407,0.2780114756345648,0.2243725695486156,1.0972496246912822,0.0288093357952844,-0.3821431247176175,0,2,-0.8069096886372013,0.5913944406980193,0.0584962820886834,-0.3598488055906803,2,0.2440151548442515,-0.6239073707571513,-0.4737333118968528,0.2672548674799059,0.2036571700143803,1.1855867807150244,0.0935531316163777,-0.3283814238240187,-0.5045506382128891,0.3692337173756141,-1.0516652963453723,-0.2358427543402708,0,1,1,-0.4415247447451619,1,-0.4991827765442012,0,0,0,0.0496005941508631,0.0865761944566997,-0.0164491504596087,-0.9578884442446204,-0.6752914747945793,-0.078046322796266,0,1.377947093402374,-0.3348584138270729,1,0
5358,970121,12,-0.4295958913791697,,2,3,-0.5434095721412133,1.3725087296394132,0.2020097208023686,-0.0976233960912852,2,0.6178126832217177,-0.4648699408090951,-0.8881335348365664,-0.2296751890332028,-0.2419866583110143,-1.495252799814576,-1.0753777249262182,-1.028535454561844,0,3,-0.5117254734038451,1.3392313016518609,0.1807050752421112,-0.1371499221307876,2,0.5935215775032668,-0.436099288133446,-0.8615855251060868,-0.2497180172858217,-0.2652234236728099,-1.4817539397873247,-1.0399172197525242,-0.9950743578195628,1.3104442991387093,0.6894071471945363,1.725823725275341,0.591359588259995,0,0,1,0.8779497303914667,1,1.3446454971776234,0,0,0,-1.2037684053485784,-1.7391612965660532,-1.703049092659571,-1.7419564812239636,-2.0964990994925308,-1.6847417544899377,1,1.6975840429327689,1.340568768575502,0,5
6095,970124,60,-1.3751394744317105,,2,2,0.1194003268936311,0.6827935225074975,0.4467343317836316,0.1278728991054864,2,0.2708219981245885,-0.0608210528521701,0.117643979870687,0.9255709968944722,0.7133705948771595,-0.575332584667336,-0.069809909812074,0.0461456551506981,0,2,0.16349159558347,0.648920353079084,0.4251226615489668,0.085548961329105,2,0.2440151548442515,-0.0258868971395636,0.1744580581240588,0.9266590572321094,0.6952989575698805,-0.5352782002542331,-0.0076815186948363,0.1133581978645465,0.7308802842623577,0.9781271404950134,0.6506666846479681,1.0423218640901586,0,0,1,0.8779497303914667,1,1.3446454971776234,0,0,0,0.3766105946874368,-0.1174552306130602,0.2935194666525901,-0.262269152416416,-0.0012687787678194,-0.3926433070824804,1,0.5788547195763861,1.5267273443980105,0,3
6878,970124,12,-1.0130843989316307,,2,0,0.2185172886062767,-0.5242080899733552,0.9361835537461576,3.284821031860289,3,0.9648033683188468,-1.005224477715344,-0.6435048645927509,0.4541476654172596,0.4643438227191047,-0.2826306980295777,-0.7493733914670748,-0.775922385907385,0,0,0.2641879285945784,-0.5591238069232756,0.913957834162678,3.2033333297676023,3,0.943028000162282,-0.9846965821132162,-0.6095954374632968,0.4466128070925053,0.4449258250184684,-0.234126828584613,-0.705267177619021,-0.7345277205359095,0.3351470321031247,-0.4661139651875241,0.1130881643342815,-0.2836459389349169,0,0,0,0.7724945555172259,0,-0.4991827765442012,0,0,0,0.2881394168618781,-0.4949478556124545,-1.6505655179286738,-1.647795452609805,-1.949510885460186,0.2186381260132926,0,-1.498785452371182,-0.3348584138270729,0,7
6554,970129,48,1.8153282022322943,,2,3,-0.2846897371375617,0.25172151805005,-0.10389604292421,0.3533691943022581,3,1.6587847385131052,0.2361305395017141,-0.902133368374616,-0.550864711578117,-0.5272355064193316,-0.2408161427956122,-0.6188693988612596,-0.7423562794396836,0,3,-0.2478043212145683,0.2174760102210984,-0.1248169076414582,0.3082478447889977,3,1.6420408454803126,0.2755944986511206,-0.87600664457962,-0.5767824954029148,-0.5520144664135184,-0.1911052040603815,-0.5713021896057563,-0.6999074365836673,-1.637204187691682,-1.5067528714008835,-0.6932796161362481,-1.4614279931370628,0,0,0,-1.5560416964902215,0,-1.4210969134051137,0,0,0,0.2958658603193541,0.0794302538790133,0.28324253409595,1.4161825393715128,1.0490324818128345,1.5144872308147737,1,-1.4188762149885832,-1.2656512929396144,1,4
6793,970130,60,-0.4775350880090668,,1,0,-0.721137056747753,-0.0356598182549148,0.8750024010008417,-0.0976233960912852,1,-0.0761686869725406,-0.883523005439162,-0.9618168692473542,0.4852305224377352,0.4733993417066702,-0.5335180294333705,-1.0317677179032492,-1.0538268172512204,0,0,-0.6932670678097062,-0.0701535516842252,0.8528534375859641,-0.1371499221307876,1,-0.1054912678147637,-0.8611386330186733,-0.937486153914156,0.4782642082006111,0.4540303025657923,-0.4922565757300016,-0.9951506654775394,-1.021160021305373,1.397761569798342,0.7641847799779299,1.5466308851707788,0.6279343341075947,0,0,1,1.2636348844725496,1,0.2383485329445286,0,0,0,-0.658159670988014,1.4685302185693905,0.4746273569780466,0.8109295369548897,0.8318027844456731,-1.0392266038766833,1,1.0583101438719786,0.0374587378179437,0,5
7286,970131,36,-1.0413913531321417,,2,2,-0.5485049570210166,0.7402697897684904,0.5079154845289473,-0.3231196912880569,1,0.2708219981245885,-0.8397104754197364,-0.2109836916014265,0.5163133794582108,0.4326495062626249,-0.1990015875616468,-0.5030931254183572,-0.3223201143952878,0,2,-0.516927552127947,0.7064462654601488,0.4862270581256807,-0.3598488055906803,1,0.2440151548442515,-0.816657771344638,-0.1640587463599301,0.5099156093087169,0.413060153602834,-0.1480835795361501,-0.4524555031994146,-0.2666796114249589,0.6230118892796371,0.955064886084173,-0.603683196083967,0.2445249561876043,0,1,1,0.4286315984886765,1,0.6071141876888936,0,0,0,-1.1335422340937875,-1.2670357934025844,-1.144645545886528,-1.4709669774025314,-1.5318280094061958,-1.2735740885832734,1,-0.8595115533103918,0.782093041107977,0,7
